	Word	PoS	FrSp		LL	FrWr
	need	Verb	749	+	3967.2	310
	day	NoC	746	+	330.4	594
	used	VMod	742	+	15000.9	88
	says	Verb	740	+	2804.6	358
	still	Adv	739	+	7.2	715
	about	Adv	730	+	1785.4	414
	mhm	Int	722	+	33831.8	0
	ah	Int	712	+	22842.8	28
	sort	NoC	712	+	9947.3	140
	years	NoC	704	-	537.9	925
	never	Adv	700	+	387.4	542
	little	Adj	700	+	4476.2	261
	than	Conj	683	-	1547.3	1074
	tell	Verb	668	+	3824.7	265
	many	DetP	654	-	870.4	931
	same	DetP	651	+	24.0	611
	her*	Det	644	-	16899.4	2362
	another	DetP	640	+	66.3	575
	money	NoC	637	+	1818.7	343
	point	NoC	637	+	1887.5	338
	bit*	NoC	635	+	12403.1	80
	being	Verb	634	-	763.5	888
	anything	Pron	633	+	3716.7	248
	week	NoC	631	+	2765.9	286
	too	Adv	629	-	89.0	710
	more	Adv	624	-	4646.0	1351
	ten	Num	616	+	6735.9	155
	through	Prep	615	-	271.8	758
	eight	Num	606	+	8237.0	123
	new	Adj	603	-	3528.3	1208
	nice	Adj	603	+	11893.6	74
	work	NoC	601	-	48.8	659
	always	Adv	597	+	423.9	446
	thank	Verb	595	+	12397.0	67
	next	Ord	594	+	645.9	412
	must	VMod	589	-	305.0	739
	probably	Adv	585	+	3222.7	237
	saying	Verb	577	+	6836.4	135
	'd	Verb	577	+	2075.1	285
	pounds	NoC	572	+	11301.3	71
	nine	Num	571	+	9860.8	86
	Mr	NoC	565	+	37.2	519
	seven	Num	565	+	6896.1	128
	also	Adv	556	-	5482.9	1328
	wo~	VMod	552	+	7229.2	116
	big	Adj	549	+	3054.5	221
	over	Prep	543	-	627.6	757
	of course	Adv	543	+	1695.7	283
	getting	Verb	539	+	4647.3	165
	made	Verb	539	-	2336.9	990
	after	Prep	539	-	2180.7	972
	number	NoC	531	+	34.3	488
	when	Adv	530	+	248.6	420
	old	Adj	529	-	4.4	545
	find	Verb	529	+	305.8	408
	coming	Verb	522	+	5045.2	146
	thirty	Num	520	+	12743.0	43
	fifty	Num	519	+	13755.2	36
	as well	Adv	516	+	9892.1	67
	thousand	NoC	516	+	10998.7	56
	remember	Verb	513	+	4528.0	154
	as	Adv	507	-	76.4	574
	anyway	Adv	503	+	8512.4	78
	goes	Verb	503	+	6537.7	107
	today	Adv	503	+	2058.0	236
	different	Adj	500	+	6.8	482
	out of	Prep	497	+	0.9	490
	a bit	Adv	496	+	8543.9	75
	fact	NoC	492	+	396.0	360
	may	VMod	480	-	5470.7	1211
	sure	Adj	479	+	2211.1	212
	else	Adv	475	+	2990.5	178
	came	Verb	473	+	0.1	471
	sort of	Adv	472	+	17161.9	11
	night	NoC	465	+	292.9	354
	house	NoC	460	-	40.4	506
	morning	NoC	459	+	2610.4	183
	even	Adv	457	-	1226.0	746
	every	Det	456	+	85.4	395
	end	NoC	455	+	18.5	426
	use	Verb	455	+	605.8	303
	having	Verb	452	+	299.2	341
	keep	Verb	449	+	1068.0	256
	perhaps	Adv	444	+	271.3	339
	over	Adv	443	-	423.4	600
	own	DetP	443	-	1198.6	724
	half	DetP	440	+	2322.1	182
	away	Adv	433	+	115.2	364
	much	Adv	432	+	50.3	385
	school	NoC	431	+	94.1	368
	sorry	Adj	431	+	6473.3	78
	C / c	Lett	431	+	4884.8	105
	talking	Verb	428	+	5463.6	93
	looking	Verb	428	+	1009.7	245
	council	NoC	424	+	413.2	300
	ooh	Int	424	+	18553.9	2
	gone	Verb	418	+	2299.8	170
	round	Adv	415	+	4467.1	106
	work	Verb	415	+	924.2	242
	aye	Int	414	+	15007.0	10
	whether	Conj	413	+	214.7	322
	mum	NoC	410	+	8323.7	48
	though	Adv	410	+	7013.8	63
	somebody	Pron	409	+	9932.6	34
	alright*	Adv	408	+	18179.5	1
	A / a	Lett	405	+	737.6	250
	man	NoC	405	-	929.2	639
	nothing	Pron	403	+	125.1	333
	let's	Verb	401	+	8097.9	48
	so	Conj	400	+	793.9	241
	ask	Verb	399	+	1997.2	170
	try	Verb	396	+	1728.1	180
	let	Verb	390	+	753.5	237
	forty	Num	388	+	9928.3	29
	job	NoC	382	+	1016.4	211
	car	NoC	379	+	381.2	267
	side	NoC	374	+	51.4	330
	seen	Verb	371	-	0.9	377
	nineteen	Num	370	+	12972.5	10
	~n~*	Neg	367	+	14924.2	4
	children	NoC	367	-	261.2	477
	alright*	Adj	366	+	15498.1
	start	Verb	365	+	2575.0	128
	long	Adj	365	+	13.6	342
	feel	Verb	364	+	476.2	243
	great	Adj	363	-	172.6	452
	told	Verb	362	-	3.2	373
	please	Adv	361	+	3259.4	106
	P / p	Lett	359	+	6865.2	47
	everything	Pron	359	+	1493.2	167
	area	NoC	356	+	0.8	351
	part	NoC	355	-	510.2	512
	place	NoC	353	-	225.0	453
	problem	NoC	348	+	126.3	283
	few	DetP	346	-	303.2	462
	ninety	Num	342	+	12638.6	7
	off	Prep	341	+	759.6	199
	able	Adj	339	+	45.9	300
	between	Prep	338	-	5239.2	968
	its	Det	338	-	17017.0	1782
	B / b	Lett	337	+	1353.4	159
	Road	NoC	336	+	154.0	266
	comes	Verb	328	+	1637.1	140
	pound	NoC	327	+	7521.7	31
	~ta*	Inf	326	+	13786.2	2
	days	NoC	318	-	5.2	332
	ones	NoC	318	+	2856.9	94
	before	Conj	316	+	4.4	304
	wanted	Verb	314	+	287.9	225
	trying	Verb	311	+	836.7	171
	question	NoC	310	+	172.3	240
	pay	Verb	309	+	982.6	160
	better	Adj	308	+	428.3	203
	yet	Adv	307	-	32.0	341
	called	Verb	306	-	20.3	332
