	Word	PoS	FrSp		LL	FrWr
	cold	Adj	109	+	13.2	97
	become	Verb	109	-	1866.2	326
	chance	NoC	109	-	42.6	133
	body	NoC	109	-	1217.2	272
	telling	Verb	108	+	401.2	53
	state	NoC	108	-	2796.8	393
	fourteen	Num	108	+	1745.1	18
	class	NoC	108	-	390.0	189
	pretty	Adv	108	+	559.5	45
	evening	NoC	108	-	83.6	142
	add	Verb	108	+	83.3	79
	playing	Verb	108	+	4.6	100
	church	NoC	107	-	615.8	214
	shut	Verb	107	+	687.9	40
	clearly	Adv	107	-	177.7	159
	tax	NoC	107	-	197.5	162
	for example	Adv	107	-	1037.0	254
	numbers	NoC	107	-	3.6	114
	wife	NoC	107	-	315.7	178
	sixteen	Num	107	+	1734.0	17
	tried	Verb	107	-	159.4	155
	felt	Verb	106	-	1567.3	298
	ways	NoC	106	-	157.4	154
	moved	Verb	106	-	133.9	150
	figures	NoC	106	-	3.4	112
	doctor	NoC	106	+	0.2	105
	daddy	NoC	106	+	2174.5	12
	hang	Verb	106	+	1384.0	22
	itself	Pron	105	-	1052.8	252
	allowed	Verb	105	-	128.3	147
	size	NoC	105	-	47.4	129
	support	NoC	104	-	636.4	212
	councillor	NoC	104	+	1795.9	16
	needs	Verb	104	+	6.3	96
	friends	NoC	104	-	185.9	156
	major	Adj	104	-	1082.3	254
	available	Adj	104	-	1531.5	291
	early	Adj	103	-	1442.5	283
	spend	Verb	103	+	119.9	71
	god	NoC	103	+	1027.8	28
	face	NoC	103	-	1704.3	303
	south	NoC	103	-	307.8	172
	experience	NoC	103	-	532.5	198
	meant	Verb	103	-	11.6	114
	quid	NoC	103	+	3232.8	4
	yo	Uncl	103	+	4822.3	0
	friend	NoC	102	-	303.8	171
	term	NoC	102	-	43.5	125
	V / v	Lett	102	+	486.2	44
	public	Adj	102	-	1762.4	306
	late	Adj	102	-	272.3	166
	management	NoC	101	-	878.7	231
	various	Adj	101	-	242.9	161
	need	NoC	101	-	363.1	176
	matter	Verb	101	+	876.2	30
	rather than	Prep	101	-	373.5	177
	board	NoC	100	-	106.7	138
	poor	Adj	100	-	220.9	157
	Jesus	NoP	100	+	351.5	50
	turned	Verb	100	-	1269.4	263
	meet	Verb	99	-	154.6	145
	use	NoC	99	-	2204.7	334
	future	NoC	99	-	165.3	147
	quality	NoC	99	-	337.9	170
	go	NoC	98	+	1978.5	12
	lady	NoC	98	+	0.1	97
	simply	Adv	98	-	488.7	187
	gives	Verb	97	-	5.4	105
	further	Adv	97	-	195.7	150
	holiday	NoC	97	+	60.7	74
	thirteen	Num	97	+	1816.5	13
	yours	Pron	97	+	623.7	36
	bet	Verb	97	+	1947.7	12
	decision	NoC	97	-	402.2	176
	over there	Adv	97	+	2271.5	9
	girls	NoC	97	+	0.0	96
	hospital	NoC	97	-	254.3	157
	houses	NoC	97	+	0.0	96
	figure	NoC	97	-	424.4	178
	bag	NoC	97	+	341.1	48
	a lot	Adv	96	+	681.7	34
	moving	Verb	96	+	6.6	88
	Secretary	NoC	96	-	284.3	161
	hot	Adj	96	+	2.9	90
	colour	NoC	96	-	26.1	113
	care	NoC	95	-	741.6	209
	dinner	NoC	95	+	168.8	59
	planning	NoC	95	-	0.1	96
	front	NoC	95	+	29.6	79
	floor	NoC	95	-	43.1	118
	story	NoC	95	-	161.8	141
	paying	Verb	95	+	473.2	41
	straight	Adv	95	+	214.6	55
	onto	Prep	95	+	177.6	58
	card	NoC	95	+	241.8	53
	Wednesday	NoP	95	+	525.5	38
	K / k	Lett	94	+	1413.3	17
	basis	NoC	94	-	228.8	150
	bus	NoC	94	+	292.8	49
	worry	Verb	94	+	440.3	41
	hands	NoC	94	-	663.1	199
	accept	Verb	94	-	2.2	99
	written	Verb	94	-	11.1	105
	single	Adj	94	-	538.6	187
	court	NoC	94	-	1961.8	307
	support	Verb	93	-	2.2	98
	L / l	Lett	93	+	1012.4	24
	baby	NoC	93	+	0.7	90
	imagine	Verb	93	+	174.7	57
	team	NoC	93	-	651.8	197
	known	Verb	93	-	1313.8	255
	bloody	Adv	92	+	1790.2	12
	Oxford	NoP	92	+	6.0	85
	fucking	Adv	92	+	3032.2	3
	definitely	Adv	92	+	928.6	25
	weekend	NoC	92	+	135.6	60
	awful	Adj	92	+	970.6	24
	window	NoC	91	-	23.8	107
	department	NoC	91	-	573.9	187
	places	NoC	91	-	0.0	91
	quick	Adj	91	+	193.4	54
	likely	Adj	91	-	1197.8	243
	ball	NoC	91	+	41.2	72
	picture	NoC	91	-	23.0	107
	low	Adj	91	-	384.3	166
	region	NoC	91	-	8.5	100
	coffee	NoC	90	+	90.0	64
	reckon	Verb	90	+	1601.0	13
	settlement	NoC	90	+	399.9	41
	light	NoC	90	-	279.2	152
	however	Adv	90	-	7648.4	664
	club	NoC	90	-	460.5	173
	society	NoC	89	-	1379.3	256
	especially	Adv	89	-	607.9	187
	decided	Verb	89	-	338.9	158
	rate	NoC	89	-	748.2	200
	section	NoC	89	-	715.5	197
	Thursday	NoP	88	+	620.8	31
	quickly	Adv	88	-	128.1	128
	chair	NoC	88	+	17.0	76
	law	NoC	88	-	1863.2	291
	normal	Adj	88	-	134.0	129
	green	Adj	88	-	13.9	100
	north	NoC	88	-	464.4	171
	minus	Prep	88	+	2636.2	4
	sorts	NoC	88	+	927.2	23
	garden	NoC	88	-	43.8	110
	action	NoC	88	-	1170.0	236
	possibly	Adv	88	+	34.7	71
	provide	Verb	88	-	1205.1	239
	ring	Verb	88	+	934.0	23
	near	Prep	88	-	242.4	144
	otherwise	Adv	88	-	0.0	88
	station	NoC	87	-	19.6	102
	Michael	NoP	87	-	7.6	96
	machine	NoC	87	+	1.3	84
	instead of	Prep	87	+	37.5	70
	effect	NoC	87	-	1282.0	244
	officers	NoC	87	-	0.3	89
	Peter	NoP	87	-	139.9	128
	books	NoC	87	-	196.6	136
	himself	Pron	87	-	2542.2	337
	blue	Adj	86	-	3.7	92
	middle	NoC	86	+	126.9	56
	happening	Verb	86	+	482.7	35
	air	NoC	86	-	803.2	201
	well	Adj	86	+	437.1	36
	aware	Adj	86	-	55.6	110
	corner	NoC	85	+	16.2	73
	bank	NoC	85	-	565.0	177
	learn	Verb	85	+	0.6	83
	groups	NoC	85	-	871.9	206
	feet	NoC	85	-	297.5	147
	member	NoC	85	-	649.6	185
	agreed	Verb	85	-	258.1	142
	terrible	Adj	85	+	292.3	42
	while	NoC	85	+	78.9	60
	computer	NoC	85	-	277.5	145
	and so on	Adv	84	+	251.0	45
	foot	NoC	84	+	18.7	72
	cost	Verb	84	+	128.8	54
	project	NoC	84	-	314.1	148
	Tuesday	NoP	83	+	565.3	30
	control	NoC	83	-	1520.1	256
	save	Verb	83	+	40.5	65
	built	Verb	83	-	214.9	134
	stupid	Adj	83	+	640.5	27
	works	Verb	82	+	65.1	61
	until	Prep	82	-	608.0	177
	soon	Adv	82	-	540.3	170
	miles	NoC	82	-	31.6	100
	earlier	Adv	82	-	28.1	98
	evidence	NoC	82	-	1218.2	230
	open	Verb	81	+	3.7	76
	whole	NoC	81	-	13.5	92
	lived	Verb	81	-	0.4	82
	simple	Adj	81	-	335.0	147
	upon	Prep	80	-	1521.1	252
	finish	Verb	80	+	738.1	23
	ground	NoC	80	-	484.9	163
	income	NoC	80	-	172.7	125
	husband	NoC	80	-	116.5	116
	involved	Adj	80	-	31.7	98
	deal	Verb	80	+	30.4	65
	away from	Prep	80	-	174.4	125
	date	NoC	80	-	541.7	167
	completely	Adv	80	-	5.5	87
	issues	NoC	80	-	181.4	125
	structure	NoC	80	-	319.5	143
	wall	NoC	79	-	136.4	118
	died	Verb	79	-	350.7	147
	based	Verb	79	-	888.8	199
	anywhere	Adv	79	+	331.8	37
	football	NoC	79	+	23.8	66
	space	NoC	79	-	220.2	130
	along	Prep	79	-	209.6	129
	help	NoC	79	-	94.8	110
	language	NoC	79	-	914.2	200
	officer	NoC	79	-	24.3	94
	hit	Verb	79	-	13.3	90
	financial	Adj	78	-	641.1	175
	cars	NoC	78	+	1.7	75
	television	NoC	78	-	59.5	103
	hall	NoC	78	-	172.1	122
	totally	Adv	78	+	73.0	56
	radio	NoC	78	-	12.0	89
	site	NoC	78	-	45.6	99
	wear	Verb	78	+	264.8	39
	boys	NoC	78	-	1.0	81
	sounds	Verb	78	+	509.0	29
	process	NoC	78	-	1317.3	231
	scheme	NoC	78	-	190.0	124
	housing	NoC	77	+	22.2	65
	Richard	NoP	77	-	63.1	102
	industry	NoC	77	-	1087.6	212
	suggest	Verb	77	-	19.5	90
	Britain	NoP	77	-	1857.7	271
	strong	Adj	77	-	606.9	170
	needed	Verb	77	-	662.3	175
	odd	Adj	77	+	222.1	41
	birthday	NoC	77	+	522.1	27
	president	NoC	76	-	660.1	174
	music	NoC	76	-	502.4	159
	terms	NoC	76	-	681.3	176
	sat	Verb	76	-	215.0	126
	park	NoC	76	-	90.7	107
	draw	Verb	76	+	44.6	58
	waiting	Verb	76	-	15.3	88
	bigger	Adj	76	+	406.4	31
	spent	Verb	76	-	180.9	120
	example	NoC	76	-	259.4	131
	opportunity	NoC	75	-	91.0	106
	check	Verb	75	+	83.3	52
	slightly	Adv	75	-	24.6	90
	course*	Adv	75	+	2925.9	1
	tend	Verb	75	+	29.9	61
	post	NoC	75	-	24.8	90
	afford	Verb	75	+	191.5	42
	kitchen	NoC	75	-	8.2	83
	proper	Adj	75	+	16.6	64
	university	NoC	75	-	695.4	175
	reasons	NoC	74	-	136.5	112
	Yorkshire	NoP	74	+	208.2	40
	beginning	NoC	74	+	2.3	70
	walking	Verb	74	+	138.5	45
	living	Verb	74	-	3.2	79
	result	NoC	74	-	1007.5	200
	companies	NoC	74	-	893.6	190
	brother	NoC	73	-	19.8	87
	record	NoC	73	-	299.3	133
	video	NoC	73	+	12.0	64
	statement	NoC	73	-	82.1	101
	rid	Verb	73	+	680.3	21
	properly	Adv	73	+	49.8	55
	start	NoC	73	-	19.7	86
	brilliant	Adj	73	+	375.2	31
	hey	Int	73	+	1238.6	11
	apparently	Adv	73	-	4.1	78
	college	NoC	72	-	108.1	105
	choice	NoC	72	-	258.1	126
	pressure	NoC	72	-	249.3	125
	double	Adj	72	+	44.7	55
	since	Prep	72	-	922.6	190
	account	NoC	72	-	403.8	142
	seventeen	Num	72	+	1165.9	12
	authorities	NoC	72	-	350.4	136
	colleagues	NoC	72	+	49.1	54
	son	NoC	72	-	365.0	138
	per	Prep	72	-	406.7	142
	bar	NoC	71	-	4.8	78
	necessary	Adj	71	-	981.6	194
	central	Adj	71	-	1148.2	207
	political	Adj	71	-	2928.7	333
	none	Pron	71	-	26.1	86
	needs	NoC	71	-	141.8	109
	miss	Verb	71	+	341.1	31
	cases	NoC	71	-	1012.9	195
	worse	Adj	71	+	5.6	64
	depends	Verb	70	+	89.3	47
	set	NoC	70	-	199.4	116
	stopped	Verb	70	-	85.4	99
	lunch	NoC	70	+	55.2	52
	Chris	NoP	70	+	149.5	42
	lose	Verb	70	+	5.5	64
	d'	Verb	70	+	1249.3	10
	met	Verb	70	-	461.3	146
	drink	NoC	70	+	98.9	46
	value	NoC	70	-	919.9	187
	environment	NoC	70	-	377.7	137
	benefit	NoC	70	-	9.6	79
	deal	NoC	70	-	44.8	90
	Y / y	Lett	70	+	488.6	25
	pull	Verb	70	+	212.3	37
	history	NoC	70	-	1176.2	207
	ideas	NoC	70	-	201.7	116
	beautiful	Adj	70	-	41.0	89
	all right*	Adv	70	+	5.0	64
	Mark	NoP	70	+	2.1	66
	European	Adj	69	-	1218.3	210
	expensive	Adj	69	+	21.9	57
	similar	Adj	69	-	1059.1	198
	carried	Verb	69	-	470.0	146
	pass	Verb	69	+	24.4	56
	west	NoC	69	-	362.2	134
	private	Adj	69	-	920.4	185
	summer	NoC	69	-	229.1	118
	changes	NoC	69	-	1056.3	196
	per cent	NoC	69	-	4353.7	418
	pension	NoC	69	+	130.9	42
	win	Verb	69	-	30.4	85
	conference	NoC	69	-	130.8	104
	fish	NoC	69	-	146.9	107
	decide	Verb	69	+	0.5	67
	played	Verb	68	-	226.6	117
	pence	NoC	68	+	1515.3	7
	speaking	Verb	68	+	36.8	53
	names	NoC	68	-	11.4	77
	stick	Verb	68	+	612.6	20
	bill	NoC	68	-	69.7	93
	item	NoC	68	+	229.6	34
	talked	Verb	68	+	125.9	42
	less	DetP	68	-	142.2	105
	safety	NoC	68	-	49.5	88
	close	Adj	67	-	367.3	132
	common	Adj	67	-	1075.8	196
	shit	NoC	67	+	959.0	13
	teacher	NoC	67	-	58.2	90
	bloke	NoC	67	+	1484.5	7
	right	NoC	67	-	896.5	181
	a little	Adv	67	-	174.6	109
	explain	Verb	67	-	23.6	81
	teachers	NoC	67	-	278.4	121
	even if	Conj	67	-	61.8	90
	ourselves	Pron	67	+	104.9	43
	won	Verb	66	-	295.4	123
	wonderful	Adj	66	+	66.7	47
	continue	Verb	66	-	304.0	124
	subject	NoC	66	-	1059.8	192
	public	NoC	66	-	117.2	99
	gas	NoC	66	-	8.0	74
	silly	Adj	66	+	442.6	24
	role	NoC	66	-	1105.9	196
	picked	Verb	66	+	1.6	63
	film	NoC	66	-	158.3	105
	older	Adj	66	-	79.4	92
	client	NoC	66	+	4.6	60
	higher	Adj	66	-	755.3	167
	bedroom	NoC	65	+	112.6	41
	consider	Verb	65	-	311.3	123
	Christ	NoP	65	+	74.0	45
	sales	NoC	65	-	191.6	109
	shops	NoC	65	+	33.5	51
	careful	Adj	65	+	34.5	51
	hate	Verb	65	+	467.2	23
	manager	NoC	65	-	548.8	147
	insurance	NoC	65	-	5.3	71
	employment	NoC	65	-	219.3	112
	costs	NoC	65	-	347.9	126
	outside	Prep	65	-	304.6	122
	personal	Adj	65	-	1051.3	189
	easier	Adj	65	+	69.3	45
	present	Adj	65	-	680.9	158
	serious	Adj	64	-	396.7	131
	top	Adj	64	-	276.4	118
	flats	NoC	64	+	839.4	14
	appropriate	Adj	64	-	280.7	118
	loads	NoC	64	+	1179.6	9
	correct	Adj	64	+	4.9	58
	advice	NoC	64	-	204.9	109
	east	NoC	64	-	449.2	136
	outside	Adv	64	+	23.3	52
	whereas	Conj	64	+	0.5	62
	da	Uncl	64	+	2339.5	1
	as if	Conj	64	-	802.5	167
	bother	Verb	64	+	643.5	17
	Dave	NoP	64	+	446.2	22
	as to	Prep	64	-	14.0	74
	till	Conj	64	+	531.4	20
	several	DetP	64	-	2057.7	260
	contract	NoC	64	-	305.0	120
	sold	Verb	63	-	65.2	87
	ours	Pron	63	+	927.6	12
	milk	NoC	63	+	53.7	46
	parts	NoC	63	-	328.9	122
	nature	NoC	63	-	1150.8	195
	workers	NoC	63	-	688.2	157
	eyes	NoC	63	-	3032.6	324
	standing	Verb	63	-	16.4	74
	upstairs	Adv	63	+	487.0	21
	guy	NoC	63	+	530.4	20
	front	Adj	63	-	6.2	70
	further*	Adj	63	-	1698.4	234
	dead	Adj	63	-	313.7	120
	writing	Verb	63	+	0.0	63
	ring	NoC	63	+	125.3	38
	weight	NoC	63	-	76.2	88
	play	NoC	62	-	4.0	68
	twice	Adv	62	-	0.0	63
	positive	Adj	62	-	65.8	86
	Greater	NoP-	62	+	1249.2	8
	congress	NoC	62	+	11.9	54
	sick	Adj	62	+	79.4	42
	busy	Adj	62	+	35.0	48
	in front of	Prep	62	-	2.1	66
	sort	Verb	62	+	787.7	14
	watching	Verb	62	-	1.9	66
	second	NoC	62	+	7.2	55
	Europe	NoP	62	-	1188.4	195
	surely	Adv	62	-	0.4	64
	thinks	Verb	62	+	134.2	36
	practice	NoC	62	-	1041.6	184
	James	NoP	62	-	209.5	107
	listening	Verb	62	+	208.2	31
	comments	NoC	62	+	103.5	39
	as long as	Conj	62	+	328.6	25
	fill	Verb	62	+	137.1	36
	each other	Pron	62	-	265.7	113
	test	NoC	62	-	278.1	114
	transport	NoC	61	-	63.6	84
	horse	NoC	61	-	41.3	79
	sister	NoC	61	-	29.0	76
	June	NoP	61	-	710.0	156
	press	NoC	61	-	214.9	106
	like	Conj	61	+	432.5	21
	end	Verb	61	+	6.2	55
	conversation	NoC	61	+	8.1	54
	wrote	Verb	61	-	195.3	103
	build	Verb	61	-	9.8	69
	call	NoC	61	+	0.1	60
	honest	Adj	61	+	300.6	26
	seeing	Verb	61	-	0.1	61
	necessarily	Adv	61	+	3.1	56
	sector	NoC	61	-	103.8	90
	boat	NoC	61	+	9.0	53
	bread	NoC	61	+	139.8	35
	produce	Verb	60	-	300.4	115
	apart from	Prep	60	-	4.9	66
	cheap	Adj	60	+	112.3	37
	starts	Verb	60	+	113.8	37
	recently	Adv	60	-	453.9	130
	coal	NoC	60	+	17.7	50
	born	Verb	60	-	74.4	84
	seemed	Verb	60	-	2144.8	259
	other	NoC	60	-	94.4	88
	answer	Verb	60	+	10.9	52
	involved	Verb	60	-	250.6	109
	wee	Adj	59	+	1303.5	6
	pay	NoC	59	+	50.7	43
	generally	Adv	59	-	378.5	122
	resources	NoC	59	-	271.2	111
	range	NoC	59	-	1471.7	211
	research	NoC	59	-	2461.7	279
	join	Verb	59	-	36.9	76
	buying	Verb	59	+	82.9	39
	application	NoC	59	-	226.0	105
	break	Verb	59	+	0.2	58
	realize	Verb	59	+	500.7	18
	village	NoC	59	-	312.5	114
	eventually	Adv	59	-	152.6	95
	afraid	Adj	59	-	0.2	60
	letters	NoC	59	-	66.7	81
	Jim	NoP	58	+	56.8	41
	field	NoC	58	-	731.4	153
	product	NoC	58	-	344.7	117
	Tony	NoP	58	+	15.7	49
	clothes	NoC	58	-	37.3	75
	follow	Verb	58	-	181.8	98
	past	NoC	58	-	118.0	89
	labour*	NoC	58	-	657.8	146
	weather	NoC	58	+	0.1	57
	'em	Pron	58	+	848.9	11
	current	Adj	58	-	619.0	142
	specific	Adj	58	-	375.0	119
	policies	NoC	58	-	139.9	92
	useful	Adj	58	-	248.9	106
	drive	Verb	57	+	42.7	43
	capital	NoC	57	-	615.0	141
	responsibility	NoC	57	-	180.9	97
	lucky	Adj	57	+	65.2	39
	prices	NoC	57	-	257.6	106
	starting	Verb	57	+	21.3	46
	death	NoC	57	-	1685.2	222
	increase	NoC	57	-	212.7	100
	lights	NoC	57	+	28.1	45
	sites	NoC	57	-	0.2	58
	plenty	Pron	57	+	25.7	45
	extent	NoC	57	-	256.6	105
	individual	Adj	57	-	669.2	145
	discussion	NoC	57	-	124.8	89
	countries	NoC	57	-	1115.4	180
	lines	NoC	56	-	277.6	107
	paragraph	NoC	56	+	316.4	23
	George	NoP	56	-	370.6	117
	missed	Verb	56	+	61.1	39
	heart	NoC	56	-	695.3	147
	heavy	Adj	56	-	205.4	99
	England	NoP	56	-	2135.2	252
	horrible	Adj	56	+	712.1	12
	act	NoC	56	-	1876.8	234
	debate	NoC	56	-	32.4	71
	reasonable	Adj	56	-	5.7	62
	cover	Verb	56	-	11.4	65
	hopefully	Adv	56	+	578.3	15
	cat	NoC	56	+	71.9	37
	fit	Verb	56	+	30.1	43
	held	Verb	56	-	2920.4	302
	Jane	NoP	56	+	46.4	41
	conditions	NoC	56	-	937.2	165
	train	NoC	56	-	15.2	66
	minister	NoC	56	-	2249.8	258
	care	Verb	55	+	3.9	51
	throw	Verb	55	+	186.4	28
	walked	Verb	55	-	215.6	99
	as well as	Prep	55	-	1268.0	190
	earth	NoC	55	-	239.9	102
	Nottingham	NoP	55	+	450.3	18
	enjoy	Verb	55	-	21.1	67
	American	Adj	55	-	995.7	169
	pleased	Adj	55	+	16.9	46
	sun	NoC	55	-	437.4	121
	telephone	NoC	55	-	27.1	68
	united	Adj	55	-	33.5	70
	rubbish	NoC	55	+	394.7	19
	excellent	Adj	55	-	28.6	69
	chap	NoC	55	+	730.2	11
	a little bit	Adv	54	+	1610.6	3
	in order	ClO	54	-	653.9	140
	darling	NoC	54	+	387.7	19
	pair	NoC	54	-	7.2	61
	argument	NoC	54	-	131.5	86
	pieces	NoC	54	-	0.5	56
	final	Adj	54	-	625.6	137
	provision	NoC	54	-	169.1	91
	total	Adj	54	-	543.6	130
	daughter	NoC	54	-	234.4	99
	excuse	Verb	54	+	848.9	9
	warm	Adj	54	-	18.6	65
	investment	NoC	54	-	392.1	115
	worried	Adj	54	+	69.8	36
	for instance	Adv	54	-	68.3	76
	feeling	NoC	54	-	62.4	75
	unfortunately	Adv	53	+	11.5	46
	more than*	Adv	53	-	902.8	159
	meetings	NoC	53	-	0.0	54
	sheet	NoC	53	+	33.1	41
	eye	NoC	53	-	247.1	100
	shoes	NoC	53	+	78.0	35
	America	NoP	53	-	331.7	109
	covered	Verb	53	-	107.2	82
	phone	Verb	53	+	790.1	10
	nil	Pron	53	+	1475.5	3
	allow	Verb	53	-	469.1	122
	papers	NoC	53	-	22.8	65
	economic	Adj	53	-	2315.7	257
	load	NoC	52	+	257.7	23
	previous	Adj	52	-	583.6	131
	Ann	NoP	52	+	464.0	16
	cake	NoC	52	+	199.1	25
	note	NoC	52	-	11.6	61
	means	NoC	52	-	271.1	101
	quiet	Adj	52	-	18.7	63
	early	Adv	52	-	98.0	79
	ordinary	Adj	52	-	46.4	70
	windows	NoC	52	-	195.6	92
	cards	NoC	52	+	45.1	38
	English	Adj	52	-	969.5	161
	fund	NoC	52	-	2.4	56
	turn	NoC	52	-	141.1	85
	lane	NoC	52	+	17.7	43
	offered	Verb	52	-	389.4	112
	liked	Verb	52	-	4.4	57
	showing	Verb	52	-	23.8	64
	legs	NoC	51	-	36.1	67
	bottle	NoC	51	+	28.5	40
	fourth	Num	51	-	17.7	62
	as soon as	Conj	51	+	9.4	44
	Mary	NoP	51	-	71.4	73
	amendment	NoC	51	+	494.0	14
	existing	Adj	51	-	271.0	99
	greenbelt	NoC	51	+	2263.5	0
	blood	NoC	51	-	348.9	107
	show	NoC	51	-	204.4	92
	majority	NoC	51	-	333.6	105
	attention	NoC	51	-	805.8	147
	glad	Adj	51	+	26.9	39
	relationship	NoC	51	-	695.8	138
	data	NoC	51	-	1494.2	197
	human	Adj	51	-	1515.0	199
	function	NoC	51	-	123.3	81
	basic	Adj	51	-	442.7	116
	scale	NoC	50	-	99.2	77
	dealing	Verb	50	-	1.6	53
	passed	Verb	50	-	420.5	113
	greater	Adj	50	-	878.0	152
	used	Adj	50	+	7.6	44
	regional	Adj	50	-	131.5	81
	operation	NoC	50	-	350.9	106
	coat	NoC	50	+	73.6	33
	English	NoC	50	-	157.2	85
	May	NoP	50	-	1007.1	161
	cor	Int	50	+	1815.7	1
	choose	Verb	50	-	62.5	70
	Steve	NoP	50	+	10.2	43
	driving	Verb	50	+	35.7	37
	keeping	Verb	50	-	23.2	62
	modern	Adj	50	-	752.5	141
	charge	NoC	50	-	241.2	94
	Brian	NoP	50	+	5.6	44
	production	NoC	50	-	1105.7	168
	manage	Verb	50	+	20.3	40
	leg	NoC	50	-	3.0	54
	Martin	NoP	50	-	2.4	53
	homes	NoC	49	-	25.3	62
	tree	NoC	49	-	39.6	65
	phoned	Verb	49	+	766.9	9
	copy	NoC	49	-	0.3	51
	tt	Int	49	+	1884.4	1
	above	Prep	49	-	838.1	147
	mention	Verb	49	+	106.3	29
	plans	NoC	49	-	325.9	102
	drink	Verb	49	+	93.4	30
	access	NoC	49	-	361.0	106
	horses	NoC	49	+	0.0	49
	noticed	Verb	49	-	3.3	53
	Jean	NoP	49	+	112.1	28
	easily	Adv	49	-	349.7	104
	sing	Verb	49	+	317.7	18
	circumstances	NoC	49	-	414.1	111
	security	NoC	49	-	868.9	149
	sex	NoC	49	-	188.5	87
	very	Adj	49	-	53.5	67
	comment	NoC	49	+	66.4	32
	Bill	NoP	49	+	0.9	47
	keeps	Verb	49	+	196.0	23
	truth	NoC	49	-	186.7	86
	environmental	Adj	48	-	202.8	88
	presumably	Adv	48	+	73.2	31
	division	NoC	48	-	262.9	95
	fall	Verb	48	-	85.8	73
	wide	Adj	48	-	529.0	120
	trees	NoC	48	-	198.1	87
	rates	NoC	48	-	555.1	122
	unit	NoC	48	-	485.6	116
	W / w	Lett	48	+	494.7	13
	reports	NoC	48	-	142.8	80
	levels	NoC	48	-	641.3	129
	yellow	Adj	48	+	12.2	41
	any	Adv	48	+	328.2	17
	throughout	Prep	48	-	574.2	124
	surprised	Adj	48	+	0.3	47
	movement	NoC	48	-	840.6	145
	voice	NoC	48	-	1520.1	194
	students	NoC	48	-	1004.5	157
	force	NoC	48	-	855.2	146
	tired	Adj	48	+	16.9	39
	finally	Adv	48	-	775.7	140
	proposals	NoC	48	-	78.4	71
	married	Adj	48	-	8.7	55
	oil	NoC	48	-	410.6	109
	approach	NoC	48	-	994.8	156
	rights	NoC	48	-	778.6	139
	ahead	Adv	48	-	45.4	64
	Alan	NoP	47	-	5.3	53
	up to	Adv	47	-	323.6	100
	Scotland	NoP	47	-	796.3	140
	document	NoC	47	-	3.2	51
	ages	NoC	47	+	36.6	35
	inside	Prep	47	-	131.6	77
	reading	Verb	47	-	1.4	50
	cash	NoC	47	-	198.4	86
	selling	Verb	47	+	3.3	43
	matters	NoC	47	-	184.2	84
	self	NoC	47	+	35.9	35
	speed	NoC	47	-	98.9	73
	mouth	NoC	47	-	324.0	99
	caught	Verb	47	-	251.5	91
	extremely	Adv	47	-	88.4	71
	push	Verb	46	+	86.9	28
	bothered	Verb	46	+	548.4	11
	concern	NoC	46	-	360.6	102
	army	NoC	46	-	593.4	122
	drop	Verb	46	+	79.0	29
	glass	NoC	46	-	355.0	101
	flat	NoC	46	-	0.2	47
	benefits	NoC	46	-	134.5	77
	councils	NoC	46	+	39.3	33
	Tim	NoP	46	+	45.6	33
	apply	Verb	46	-	188.0	83
	managed	Verb	46	-	146.8	78
	sale	NoC	46	-	273.6	93
	pub	NoC	46	+	17.5	37
	hardly	Adv	46	-	282.6	93
	received	Verb	46	-	828.1	140
	bringing	Verb	45	-	2.5	49
	suddenly	Adv	45	-	655.8	126
	prepared	Adj	45	-	11.8	53
	due	Adj	45	-	154.7	78
	guess	Verb	45	+	174.3	22
	sleep	Verb	45	+	22.2	36
	afterwards	Adv	45	-	0.1	46
	including	Prep	45	-	2487.9	252
	notice	Verb	45	+	28.0	34
	Margaret	NoP	45	+	15.1	37
	sea	NoC	45	-	832.2	140
	wood	NoC	45	-	9.6	52
	clean	Adj	45	-	2.5	49
	opened	Verb	45	-	628.2	124
	vote	NoC	45	-	2.4	49
	September	NoP	45	-	478.9	111
	North	NoP-	45	-	16.3	55
	likes	Verb	45	+	261.4	18
	accident	NoC	45	-	73.8	66
	detail	NoC	45	-	53.1	63
	married	Verb	45	-	1.6	48
	mate	NoC	45	+	398.7	13
	responsible	Adj	45	-	366.6	100
	catch	Verb	45	+	1.2	42
	chicken	NoC	45	+	266.5	17
	no one*	Pron	45	-	219.3	85
	population	NoC	45	-	873.0	142
	property	NoC	45	-	781.5	135
	huge	Adj	45	-	201.8	83
	became	Verb	45	-	2381.7	244
	original	Adj	44	-	544.5	115
	cheaper	Adj	44	+	182.9	21
	run	NoC	44	-	1.6	47
	hole	NoC	44	-	0.3	46
	April	NoP	44	-	1108.2	159
	success	NoC	44	-	910.0	144
	rich	Adj	44	-	100.3	70
	notes	NoC	44	-	36.1	59
	sides	NoC	44	-	72.6	65
	purpose	NoC	44	-	361.5	99
	model	NoC	44	-	861.3	140
	details	NoC	44	-	676.3	126
	grow	Verb	44	-	25.0	56
	wages	NoC	44	+	14.8	36
	nought	Pron	44	+	1605.2	1
	urgh	Int	44	+	1922.0	0
	competition	NoC	44	-	378.5	100
	successful	Adj	44	-	551.6	115
	increase	Verb	44	-	149.9	76
	contact	NoC	44	-	66.6	64
	tapes	NoC	44	+	484.6	11
	stone	NoC	44	-	217.0	84
	bath	NoC	44	+	117.4	24
	energy	NoC	44	-	749.9	131
	leaving	Verb	44	-	408.9	102
